rowid,date,pscis_crossing_id,my_crossing_reference,crew_members,utm_zone,easting,northing,stream_name,road_name,road_km_mark,road_tenure,crossing_type,crossing_subtype,diameter_or_span_meters,length_or_width_meters,continuous_embeddedment_yes_no,average_depth_embededdment_meters,resemble_channel_yes_no,backwatered_yes_no,percentage_backwatered,fill_depth_meters,outlet_drop_meters,outlet_pool_depth_0_01m,inlet_drop_yes_no,culvert_slope_percent,downstream_channel_width_meters,stream_slope,beaver_activity_yes_no,fish_observed_yes_no,valley_fill,habitat_value,stream_width_ratio,culvert_length_score,embed_score,outlet_drop_score,culvert_slope_score,stream_width_ratio_score,final_score,barrier_result,crossing_fix,recommended_diameter_or_span_meters,assessment_comment,source,aggregated_crossings_id,time_start,date_time_start,camera_id,site_id
5,2024-09-04T00:00:00Z,,24755467,AI,10,525498,6105456,Tributary to Colbourne Creek,Chuchinka-Colbourne FSR,,MoF,Closed Bottom Structure,Round Culvert,0.45,12,No,,No,No,,1.8,0,0.2,No,4,1,4,No,No,Deep Fill,Low,2.22,0,10,0,10,6,26,Barrier,Replace Structure with Streambed Simulation CBS,3,"Small stream system with low habitat value. Limited flow volume and minimal channel structure, with sparse instream features such as large woody debris, pools, or gravels. Riparian vegetation consists of grasses, ferns, and small shrubs, providing minimal shading and bank stability. Slope estimated visually. . 16:12:04",pscis_phase1.xlsm,1024755467,16:12:04,2024-09-04T16:12:04Z,AI,24755467
6,2024-09-04T00:00:00Z,,16602610,AI LS,10,515397,6094977,Tributary to Colbourne Creek,CHCO 11000 FSR,,BCTS,Closed Bottom Structure,Round Culvert,1.2,13,No,,No,No,,0.5,0.6,0.4,No,3,2.5,1,Yes,No,Deep Fill,Medium,2.08,0,10,10,10,6,36,Barrier,Replace with New Open Bottom Structure,15,"The system has good flow and a significant outlet drop. Upstream substrate consists primarily of fine materials, likely indicating limited habitat complexity for fish.. 18:21:40",pscis_phase1.xlsm,1016602610,18:21:40,2024-09-04T18:21:40Z,AI,16602610
7,2024-09-05T00:00:00Z,,2201350,AI,10,505221,6085999,Tributary to McLeod Lake,Unnamed,,Canfor R02916 Q,Closed Bottom Structure,Round Culvert,0.95,33,No,,No,Yes,30,4.5,0,0.55,No,10,2.3,1,No,No,Deep Fill,Medium,2.42,6,10,0,10,6,32,Barrier,Replace with New Open Bottom Structure,19.5,"A low-gradient, low-energy system with moderate flow. Fish were observed downstream near the highway crossing. The culvert was deteriorating and was poorly installed, causing significant upstream water backup. Medium value habitat due to dense riparian vegetation, including shrubs and ferns.NULL. 17:35:22",pscis_phase1.xlsm,1002201350,17:35:22,2024-09-05T17:35:22Z,AI,2201350
8,2024-09-04T00:00:00Z,,24755464,AI LS,10,527121,6106753,Tributary to Colbourne Creek,Chuchinka-Colbourne FSR,,MoF,Open Bottom Structure,Bridge,22.5,5,,,,,,,,,,,,,No,No,,,0,0,0,0,0,0,0,Passable,,,New bridge in 2024.  Small cascades upstream.. 15:27:12,pscis_phase1.xlsm,1024755464,15:27:12,2024-09-04T15:27:12Z,AI,24755464
9,2024-09-04T00:00:00Z,,16604219,AI LS,10,523853,6103364,Tributary to Colbourne Creek,Chuchinka-Colbourne FSR,,MoF,Open Bottom Structure,Bridge,12,5,,,,,,,,,,,,,No,No,,,0,0,0,0,0,0,0,Passable,,,New bridge in 2024. . 17:17:22,pscis_phase1.xlsm,1016604219,17:17:22,2024-09-04T17:17:22Z,AI,16604219
10,2024-09-04T00:00:00Z,,16602775,AI LS,10,523637,6102924,Tributary to Colbourne Creek,Chuchinka-Colbourne FSR,,MoF,Open Bottom Structure,Bridge,12,5,,,,,,,,,,,,,No,No,,,0,0,0,0,0,0,0,Passable,,,New bridge in 2024. This is a large stream. . 17:30:20,pscis_phase1.xlsm,1016602775,17:30:20,2024-09-04T17:30:20Z,AI,16602775
11,2024-09-04T00:00:00Z,,16602771,AI LS,10,518282,6096051,Tributary to Colbourne Creek,Chuchinka-Colbourne FSR,,MoF,Open Bottom Structure,Bridge,12,5,,,,,,,,,,,,,No,No,,,0,0,0,0,0,0,0,Passable,,,"
A 3 m high beaver dam is located just upstream of the road, with a large wetland area upstream.. 18:03:41",pscis_phase1.xlsm,1016602771,18:03:41,2024-09-04T18:03:41Z,AI,16602771
12,2024-09-04T00:00:00Z,,24755465,LS AI,10,526514,6106241,Tributary to Colbourne Creek,Chuchinka-Colbourne FSR,,BCTS,Open Bottom Structure,Bridge,9.2,4,,,,,,,,,,,,,No,No,,,0,0,0,0,0,0,0,Passable,,,"New bridge in 2024. 
. 15:52:56",pscis_phase1.xlsm,1024755465,15:52:56,2024-09-04T15:52:56Z,LS,24755465
13,2024-09-04T00:00:00Z,,24745509,LS AI,10,524680,6104513,Tributary to Colbourne Creek,Chuchinka-Colbourne FSR,,MoF,Open Bottom Structure,Bridge,12.2,5,,,,,,,,,,,,,No,No,,,0,0,0,0,0,0,0,Passable,,,"New bridge in 2024. 
. 16:57:19",pscis_phase1.xlsm,1024745509,16:57:19,2024-09-04T16:57:19Z,LS,24745509
14,2024-09-04T00:00:00Z,,16601979,LS AI,10,524391,6104000,Tributary to Colbourne Creek,Chuchinka-Colbourne FSR,,MoF,Open Bottom Structure,Bridge,6.1,4,,,,,,,,,,,,,No,No,,,0,0,0,0,0,0,0,Passable,,,"New bridge in 2024. 
. 17:07:54",pscis_phase1.xlsm,1016601979,17:07:54,2024-09-04T17:07:54Z,LS,16601979
15,2024-09-04T00:00:00Z,,24704177,LS AI,10,520025,6097384,Tributary to Colbourne Creek,Chuchinka-Colbourne FSR,28.2,MoF,Open Bottom Structure,Bridge,10,5,,,,,,,,,,,,,No,No,,,0,0,0,0,0,0,0,Passable,,,"Bridge.  Stream was dry at time of assessment.
. 17:50:42",pscis_phase1.xlsm,1024704177,17:50:42,2024-09-04T17:50:42Z,LS,24704177
5,2024-09-05T00:00:00Z,198692,,LS AI,10,511736,6059308,Tributary To Kerry Lake,Kerry Lake FSR,7,MoF,Closed Bottom Structure,Round Culvert,1.2,19,No,,No,No,,2.5,0.34,0.82,No,4,4,5,Yes,Yes,Deep Fill,Medium,3.33,3,10,10,10,6,39,Barrier,Replace with New Open Bottom Structure,15,"Rainbow trout juveniles and adults (40-120mm in fork length) were captured with electrofishing within sites located 50m upstream and downstream of the Kerry Lake FSR. Fish were also observed in the outlet pool and upstream of the FSR crossing. There was beaver activity near the inlet and a large outlet drop. Upstream gravels provide suitable spawning habitat for resident fish, with good riparian vegetation supporting overall habitat quality. If there are no plans for further logging in the area, removing the crossing and deactivating the road could be considered as a fish passage remediation option.",pscis_phase2.xlsm,198692,,,LS,198692
6,2024-09-05T00:00:00Z,198669,,LS AI,10,503347,6085960,Tributary To McLeod Lake,Hart Highway,,MoTi,Closed Bottom Structure,Round Culvert,0.9,42,No,,No,No,,8,0.36,1,Yes,2,3.5,2,No,Yes,Deep Fill,Medium,3.89,6,10,10,5,6,37,Barrier,Replace Structure with Streambed Simulation CBS,4.5,"The culvert was in extremely poor condition, with approximately 2m of the culvert unraveling at the outlet, a deep outlet pool and significant erosion around the pipe inlet, indicating that the culvert is severely undersized for the stream. Fish were observed downstream, and rainbow trout are documented upstream in FISS. Good habitat consisting of pools and gravels were observed downstream. A substantial amount of road fill is present. The inlet was blocked by a log and debris creating an inlet drop. There were signs of significant erosion around the pipe inlet, suggesting the culvert is undersized for the stream. MoTi chris_culvert_id: 1996861",pscis_phase2.xlsm,198669,MoTi chris_culvert_id: 1996861,,LS,198669
5,2024-09-11T00:00:00Z,125261,,AI,10,534595,6067775,Fern Creek,Chuchinka-Table FSR,2.1,MoF,Closed Bottom Structure,Round Culvert,2.15,12,No,,No,No,,0.5,0.23,0.15,No,2,5,1.5,Yes,Yes,Deep Fill,High,2.33,0,10,5,5,6,26,Barrier,Replace with New Open Bottom Structure,15,"Reassessed as part of a baseline assessment before hopeful future replacement. Fish sampling was conducted in a 75-meter stretch downstream and a 50-meter stretch upstream of the culvert, and fish 60 mm or greater were tagged with PIT tags. There are baffles made of metal in the culvert and ¾ of the pipe is embedded with streambed material. The outlet of the pipe sits on a large pile of rip rap creating a 30 cm cascade that occurs approximately a meter after the outlet of the pipe.  There are two overflow pipes each at 0.9 m in diameter.        . 15:58:48",pscis_reassessments.xlsm,125261,15:58:48,2024-09-11T15:58:48Z,AI,125261
6,2024-09-07T00:00:00Z,125186,,LS AI,10,565424,6052679,Tributary to Missinka River,Chuchinka-Missinka FSR,,Winton R01821 51A,Closed Bottom Structure,Round Culvert,2.4,18,No,,No,No,,1.5,0.34,0.85,No,4,2.8,5,No,No,Deep Fill,Medium,1.17,3,10,10,10,3,36,Barrier,Replace with New Open Bottom Structure,15,"Two 1.2 m diameter pipes are present, with a significant outlet drop and a deep outlet pool. The habitat was good and consisted of cobbles, boulders, and woody debris, providing complexity and cover for fish.The stream flows into the inlet from the east but goes subsurface approximately 10 m upstream, with occasional small, shallow pools. The well-defined stream channel suggests it often carries higher flows. A wetland area to the east of the inlet likely contributes flow to the stream. An ~8 m wide area directly in front of the inlet was dry at the time of assessment but showed evidence of flowing water during higher flows.. 13:14:10",pscis_reassessments.xlsm,125186,13:14:10,2024-09-07T13:14:10Z,LS,125186
7,2024-09-07T00:00:00Z,125180,,LS AI,10,569665,6053047,Tributary to Missinka River,Chuchinka-Missinka FSR,3,Winton R01821 51A,Closed Bottom Structure,Round Culvert,2.4,16,Yes,0.2,Yes,No,,1,0,0,Yes,2,4.1,4,No,Yes,Deep Fill,Medium,1.71,3,5,0,5,6,19,Potential,Replace with New Open Bottom Structure,15,"Two pipes each at 1.2m in diameter, with one showing an inlet drop. Both pipes are embedded, except for 1 m at the inlet of one pipe, allowing them to function as embedded culverts, resulting in a low priority for replacement. The habitat is high quality, featuring deep pools and gravels. Rainbow trout ranging from 40-140 mm were captured during sampling.. 12:26:48",pscis_reassessments.xlsm,125180,12:26:48,2024-09-07T12:26:48Z,LS,125180
8,2024-09-10T00:00:00Z,125231,,AI LS,10,549973,6065136,Tributary to Table River,Chuchinka-Table FSR,,Canfor R09333 UZ6_16,Open Bottom Structure,Bridge,12.2,5,,,,,,,,,,,,,No,No,,,0,0,0,0,0,0,0,Passable,,,Culvert replaced with Bridge by Canfor in the summer of 2024 with environmental oversight and engineering from DWB. Very nicely designed structure that fits the stream channel well. Minimal rock placement within areas likely to be within the natural channel with not constricting the channel. It is recommended that future projects incorporate vegetated riprap and reinstall the vegetation removed from the construction footprint within the same area.. 15:35:51,pscis_reassessments.xlsm,125231,15:35:51,2024-09-10T15:35:51Z,AI,125231
