reference_number,local_name,method_number,comments_step2
5,125180_us_ef1,NA,Site 125180_us_ef1. Set stop nets ~3m upstream of the culvert inlet. Fished from culvert up to a deep pool with a ~1m debris jam drop. Site length ~30-35m. See gps. 12:46:55 
5,125180_us_ef1,NA,Site 125180_us_ef1. Set stop nets ~3m upstream of the culvert inlet. Fished from culvert up to a deep pool with a ~1m debris jam drop. Site length ~30-35m. See gps. 12:46:55 
5,125180_us_ef1,NA,Site 125180_us_ef1. Set stop nets ~3m upstream of the culvert inlet. Fished from culvert up to a deep pool with a ~1m debris jam drop. Site length ~30-35m. See gps. 12:46:55 
6,125180_ds_ef1,NA,"Site 125180_ds_ef1. Electrofished with stop nets from approximately 35-40 m downstream, up to the culvert outlet. Sampled this site as a reference site for 125179. The culvert appeared to be embedded and perhaps not as much of a barrier as when inventory in 2019.  We only measured the length of fish and did not pit tag or weigh.          10:21:16 "
6,125180_ds_ef1,NA,"Site 125180_ds_ef1. Electrofished with stop nets from approximately 35-40 m downstream, up to the culvert outlet. Sampled this site as a reference site for 125179. The culvert appeared to be embedded and perhaps not as much of a barrier as when inventory in 2019.  We only measured the length of fish and did not pit tag or weigh.          10:21:16 "
6,125180_ds_ef1,NA,"Site 125180_ds_ef1. Electrofished with stop nets from approximately 35-40 m downstream, up to the culvert outlet. Sampled this site as a reference site for 125179. The culvert appeared to be embedded and perhaps not as much of a barrier as when inventory in 2019.  We only measured the length of fish and did not pit tag or weigh.          10:21:16 "
7,125194_ds_ef1,NA,Site 125194_ds_ef1. Fish sampling site only. No fish were captured. This is a 2022 habitat confirmation site follow-up.  Some channel/wetted width estimates were taken at the bottom end of the site. Suspect subsurface and/or beaver dam complexes have fragmented this area - disconnecting the stream from the Missinka River at this time. 15:29:13 
8,125179_ds_ef1,NA,Site 125179_ds_ef1. Site is approximately 35 m long. The bottom of site is marked with pink flagging and labeled. The top of the site is under the bridge in the middle. Mostly riffle habitat with some pools. Three visual observations of fish that were not captured.                    11:24:14 
8,125179_ds_ef1,NA,Site 125179_ds_ef1. Site is approximately 35 m long. The bottom of site is marked with pink flagging and labeled. The top of the site is under the bridge in the middle. Mostly riffle habitat with some pools. Three visual observations of fish that were not captured.                    11:24:14 
8,125179_ds_ef1,NA,Site 125179_ds_ef1. Site is approximately 35 m long. The bottom of site is marked with pink flagging and labeled. The top of the site is under the bridge in the middle. Mostly riffle habitat with some pools. Three visual observations of fish that were not captured.                    11:24:14 
8,125179_ds_ef1,NA,Site 125179_ds_ef1. Site is approximately 35 m long. The bottom of site is marked with pink flagging and labeled. The top of the site is under the bridge in the middle. Mostly riffle habitat with some pools. Three visual observations of fish that were not captured.                    11:24:14 
8,125179_ds_ef1,NA,Site 125179_ds_ef1. Site is approximately 35 m long. The bottom of site is marked with pink flagging and labeled. The top of the site is under the bridge in the middle. Mostly riffle habitat with some pools. Three visual observations of fish that were not captured.                    11:24:14 
9,125179_us_ef1,NA,"Site 125179_us_ef1. Site is approximately 40 m long. The bottom of the site was in the middle of the bridge and the top of the site was at a small 40 cm high debris. The top of the site was marked and labelled with pink flagging. The form photos were not functioning properly, so see the camera roll for the upstream and downstream ends of the site.13:43:12 "
9,125179_us_ef1,NA,"Site 125179_us_ef1. Site is approximately 40 m long. The bottom of the site was in the middle of the bridge and the top of the site was at a small 40 cm high debris. The top of the site was marked and labelled with pink flagging. The form photos were not functioning properly, so see the camera roll for the upstream and downstream ends of the site.13:43:12 "
9,125179_us_ef1,NA,"Site 125179_us_ef1. Site is approximately 40 m long. The bottom of the site was in the middle of the bridge and the top of the site was at a small 40 cm high debris. The top of the site was marked and labelled with pink flagging. The form photos were not functioning properly, so see the camera roll for the upstream and downstream ends of the site.13:43:12 "
9,125179_us_ef1,NA,"Site 125179_us_ef1. Site is approximately 40 m long. The bottom of the site was in the middle of the bridge and the top of the site was at a small 40 cm high debris. The top of the site was marked and labelled with pink flagging. The form photos were not functioning properly, so see the camera roll for the upstream and downstream ends of the site.13:43:12 "
10,125180_ds_ef2,NA,"Site 125180_ds_ef2. This site was fished a couple of days earlier (125180_ds_ef1) but fish were not tagged or weighed. The crew returned to the site to capture fish for tagging. Started fishing roughly 30m downstream of the culvert, below the big bend corner. The site had several deep pools to 40 cm deep. Initially fished only a 20 m section from upstream of the corner but then moved the bottom of the site downstream approximately 8 m to get more fish for tagging. 15:08:26 "
10,125180_ds_ef2,NA,"Site 125180_ds_ef2. This site was fished a couple of days earlier (125180_ds_ef1) but fish were not tagged or weighed. The crew returned to the site to capture fish for tagging. Started fishing roughly 30m downstream of the culvert, below the big bend corner. The site had several deep pools to 40 cm deep. Initially fished only a 20 m section from upstream of the corner but then moved the bottom of the site downstream approximately 8 m to get more fish for tagging. 15:08:26 "
10,125180_ds_ef2,NA,"Site 125180_ds_ef2. This site was fished a couple of days earlier (125180_ds_ef1) but fish were not tagged or weighed. The crew returned to the site to capture fish for tagging. Started fishing roughly 30m downstream of the culvert, below the big bend corner. The site had several deep pools to 40 cm deep. Initially fished only a 20 m section from upstream of the corner but then moved the bottom of the site downstream approximately 8 m to get more fish for tagging. 15:08:26 "
10,125180_ds_ef2,NA,"Site 125180_ds_ef2. This site was fished a couple of days earlier (125180_ds_ef1) but fish were not tagged or weighed. The crew returned to the site to capture fish for tagging. Started fishing roughly 30m downstream of the culvert, below the big bend corner. The site had several deep pools to 40 cm deep. Initially fished only a 20 m section from upstream of the corner but then moved the bottom of the site downstream approximately 8 m to get more fish for tagging. 15:08:26 "
10,125180_ds_ef2,NA,"Site 125180_ds_ef2. This site was fished a couple of days earlier (125180_ds_ef1) but fish were not tagged or weighed. The crew returned to the site to capture fish for tagging. Started fishing roughly 30m downstream of the culvert, below the big bend corner. The site had several deep pools to 40 cm deep. Initially fished only a 20 m section from upstream of the corner but then moved the bottom of the site downstream approximately 8 m to get more fish for tagging. 15:08:26 "
11,125231_ds_ef1,NA,"Site 125231_ds_ef1. This was a newly installed bridge in 2024. The downstream end of the site is marked with pink flagging on the right bank. The bottom of the site was approximately 1-2 m upstream of 4 logs across the stream at a location of a riffle break. The top of the site is in the middle of the bridge underneath the bridge structure. Nets were set up at both upstream and downstream ends of the site. Habitat was mostly riffle with a few large cobble lines, where only the few taggable sized fish were captured. Basically no fish were captured within the construction footprint due to little complexity, except for the odd boulders from construction.          10:35:33 "
11,125231_ds_ef1,NA,"Site 125231_ds_ef1. This was a newly installed bridge in 2024. The downstream end of the site is marked with pink flagging on the right bank. The bottom of the site was approximately 1-2 m upstream of 4 logs across the stream at a location of a riffle break. The top of the site is in the middle of the bridge underneath the bridge structure. Nets were set up at both upstream and downstream ends of the site. Habitat was mostly riffle with a few large cobble lines, where only the few taggable sized fish were captured. Basically no fish were captured within the construction footprint due to little complexity, except for the odd boulders from construction.          10:35:33 "
11,125231_ds_ef1,NA,"Site 125231_ds_ef1. This was a newly installed bridge in 2024. The downstream end of the site is marked with pink flagging on the right bank. The bottom of the site was approximately 1-2 m upstream of 4 logs across the stream at a location of a riffle break. The top of the site is in the middle of the bridge underneath the bridge structure. Nets were set up at both upstream and downstream ends of the site. Habitat was mostly riffle with a few large cobble lines, where only the few taggable sized fish were captured. Basically no fish were captured within the construction footprint due to little complexity, except for the odd boulders from construction.          10:35:33 "
11,125231_ds_ef1,NA,"Site 125231_ds_ef1. This was a newly installed bridge in 2024. The downstream end of the site is marked with pink flagging on the right bank. The bottom of the site was approximately 1-2 m upstream of 4 logs across the stream at a location of a riffle break. The top of the site is in the middle of the bridge underneath the bridge structure. Nets were set up at both upstream and downstream ends of the site. Habitat was mostly riffle with a few large cobble lines, where only the few taggable sized fish were captured. Basically no fish were captured within the construction footprint due to little complexity, except for the odd boulders from construction.          10:35:33 "
12,125231_us_ef1,NA,Site 125231_us_ef1. The bottom of the site was in the middle of the bridge and had a stop net. The top of the site was marked with flagging and a waypoint. It appears that only the bottom 15-20 m of the site was disturbed by the construction. See camera roll for more photos as form photos were not functioning correctly.          12:30:33 
12,125231_us_ef1,NA,Site 125231_us_ef1. The bottom of the site was in the middle of the bridge and had a stop net. The top of the site was marked with flagging and a waypoint. It appears that only the bottom 15-20 m of the site was disturbed by the construction. See camera roll for more photos as form photos were not functioning correctly.          12:30:33 
12,125231_us_ef1,NA,Site 125231_us_ef1. The bottom of the site was in the middle of the bridge and had a stop net. The top of the site was marked with flagging and a waypoint. It appears that only the bottom 15-20 m of the site was disturbed by the construction. See camera roll for more photos as form photos were not functioning correctly.          12:30:33 
12,125231_us_ef1,NA,Site 125231_us_ef1. The bottom of the site was in the middle of the bridge and had a stop net. The top of the site was marked with flagging and a waypoint. It appears that only the bottom 15-20 m of the site was disturbed by the construction. See camera roll for more photos as form photos were not functioning correctly.          12:30:33 
12,125231_us_ef1,NA,Site 125231_us_ef1. The bottom of the site was in the middle of the bridge and had a stop net. The top of the site was marked with flagging and a waypoint. It appears that only the bottom 15-20 m of the site was disturbed by the construction. See camera roll for more photos as form photos were not functioning correctly.          12:30:33 
13,125231_ds_ef2,NA,Site 125231_ds_ef2. This was a newly installed bridge in 2024. The bottom of the site was located just downstream of pool and was marked with pink flagging. The top of the site is at the middle of the bridge and is the bottom of 125231_us_ef1. We fished this additional site (ef2) to collect more fish for tagging to monitor movement and health after the replacement. 14:29:37 
13,125231_ds_ef2,NA,Site 125231_ds_ef2. This was a newly installed bridge in 2024. The bottom of the site was located just downstream of pool and was marked with pink flagging. The top of the site is at the middle of the bridge and is the bottom of 125231_us_ef1. We fished this additional site (ef2) to collect more fish for tagging to monitor movement and health after the replacement. 14:29:37 
14,125261_ds_ef1,NA,Site 125261_ds_ef1. The bottom of the site is just above two fallen logs that go all the way across the stream. The top of the site boundary is a clump of three conifers across the stream. Downstream and upstream ends were flagged. 10:02:39 
14,125261_ds_ef1,NA,Site 125261_ds_ef1. The bottom of the site is just above two fallen logs that go all the way across the stream. The top of the site boundary is a clump of three conifers across the stream. Downstream and upstream ends were flagged. 10:02:39 
14,125261_ds_ef1,NA,Site 125261_ds_ef1. The bottom of the site is just above two fallen logs that go all the way across the stream. The top of the site boundary is a clump of three conifers across the stream. Downstream and upstream ends were flagged. 10:02:39 
14,125261_ds_ef1,NA,Site 125261_ds_ef1. The bottom of the site is just above two fallen logs that go all the way across the stream. The top of the site boundary is a clump of three conifers across the stream. Downstream and upstream ends were flagged. 10:02:39 Not salmonids so no life stage specified.
14,125261_ds_ef1,NA,Site 125261_ds_ef1. The bottom of the site is just above two fallen logs that go all the way across the stream. The top of the site boundary is a clump of three conifers across the stream. Downstream and upstream ends were flagged. 10:02:39 
14,125261_ds_ef1,NA,Site 125261_ds_ef1. The bottom of the site is just above two fallen logs that go all the way across the stream. The top of the site boundary is a clump of three conifers across the stream. Downstream and upstream ends were flagged. 10:02:39 
15,125261_ds_ef2,NA,Site 125261_ds_ef2. The site begins upstream of three logs that have fallen across the stream and is flagged with pink flagging tape (top of 125261_ds_ef1). The top of the site is approximately 1.5 m metres below the outlet of the culvert under the FSR. Did not fish immediately below the steel pipes to avoid electrical damage to fish. 11:22:21 
15,125261_ds_ef2,NA,Site 125261_ds_ef2. The site begins upstream of three logs that have fallen across the stream and is flagged with pink flagging tape (top of 125261_ds_ef1). The top of the site is approximately 1.5 m metres below the outlet of the culvert under the FSR. Did not fish immediately below the steel pipes to avoid electrical damage to fish. 11:22:21 
15,125261_ds_ef2,NA,Site 125261_ds_ef2. The site begins upstream of three logs that have fallen across the stream and is flagged with pink flagging tape (top of 125261_ds_ef1). The top of the site is approximately 1.5 m metres below the outlet of the culvert under the FSR. Did not fish immediately below the steel pipes to avoid electrical damage to fish. 11:22:21 
15,125261_ds_ef2,NA,Site 125261_ds_ef2. The site begins upstream of three logs that have fallen across the stream and is flagged with pink flagging tape (top of 125261_ds_ef1). The top of the site is approximately 1.5 m metres below the outlet of the culvert under the FSR. Did not fish immediately below the steel pipes to avoid electrical damage to fish. 11:22:21 
15,125261_ds_ef2,NA,Site 125261_ds_ef2. The site begins upstream of three logs that have fallen across the stream and is flagged with pink flagging tape (top of 125261_ds_ef1). The top of the site is approximately 1.5 m metres below the outlet of the culvert under the FSR. Did not fish immediately below the steel pipes to avoid electrical damage to fish. 11:22:21 
16,125261_us_ef1,NA,Site 125261_us_ef1. The bottom of the site is just upstream of the culvert inlet. There was stop net set up at the bottom of the site but some flow went over the top before we checked the net. The top of site is a beaver dam. 12:51:52 
16,125261_us_ef1,NA,Site 125261_us_ef1. The bottom of the site is just upstream of the culvert inlet. There was stop net set up at the bottom of the site but some flow went over the top before we checked the net. The top of site is a beaver dam. 12:51:52 
16,125261_us_ef1,NA,Site 125261_us_ef1. The bottom of the site is just upstream of the culvert inlet. There was stop net set up at the bottom of the site but some flow went over the top before we checked the net. The top of site is a beaver dam. 12:51:52 
16,125261_us_ef1,NA,Site 125261_us_ef1. The bottom of the site is just upstream of the culvert inlet. There was stop net set up at the bottom of the site but some flow went over the top before we checked the net. The top of site is a beaver dam. 12:51:52 
16,125261_us_ef1,NA,Site 125261_us_ef1. The bottom of the site is just upstream of the culvert inlet. There was stop net set up at the bottom of the site but some flow went over the top before we checked the net. The top of site is a beaver dam. 12:51:52 
16,125261_us_ef1,NA,Site 125261_us_ef1. The bottom of the site is just upstream of the culvert inlet. There was stop net set up at the bottom of the site but some flow went over the top before we checked the net. The top of site is a beaver dam. 12:51:52 
16,125261_us_ef1,NA,Site 125261_us_ef1. The bottom of the site is just upstream of the culvert inlet. There was stop net set up at the bottom of the site but some flow went over the top before we checked the net. The top of site is a beaver dam. 12:51:52 
17,125261_us_ef2,NA,"Site 125261_us_ef2. The bottom of the site is located 1m upstream of a small beaver dam, has a stop net, and is flagged. The top of the site was a natural riffle break with small woody debris and was also flagged. The site was mainly beaver impounded habitat to 50 cm deep with abundant small debris and some large woody debris. 14:32:58 "
17,125261_us_ef2,NA,"Site 125261_us_ef2. The bottom of the site is located 1m upstream of a small beaver dam, has a stop net, and is flagged. The top of the site was a natural riffle break with small woody debris and was also flagged. The site was mainly beaver impounded habitat to 50 cm deep with abundant small debris and some large woody debris. 14:32:58 "
17,125261_us_ef2,NA,"Site 125261_us_ef2. The bottom of the site is located 1m upstream of a small beaver dam, has a stop net, and is flagged. The top of the site was a natural riffle break with small woody debris and was also flagged. The site was mainly beaver impounded habitat to 50 cm deep with abundant small debris and some large woody debris. 14:32:58 "
17,125261_us_ef2,NA,"Site 125261_us_ef2. The bottom of the site is located 1m upstream of a small beaver dam, has a stop net, and is flagged. The top of the site was a natural riffle break with small woody debris and was also flagged. The site was mainly beaver impounded habitat to 50 cm deep with abundant small debris and some large woody debris. 14:32:58 "
17,125261_us_ef2,NA,"Site 125261_us_ef2. The bottom of the site is located 1m upstream of a small beaver dam, has a stop net, and is flagged. The top of the site was a natural riffle break with small woody debris and was also flagged. The site was mainly beaver impounded habitat to 50 cm deep with abundant small debris and some large woody debris. 14:32:58 "
17,125261_us_ef2,NA,"Site 125261_us_ef2. The bottom of the site is located 1m upstream of a small beaver dam, has a stop net, and is flagged. The top of the site was a natural riffle break with small woody debris and was also flagged. The site was mainly beaver impounded habitat to 50 cm deep with abundant small debris and some large woody debris. 14:32:58 "
18,198692_ds_ef1,NA,"Site 198692_ds_ef1. The downstream end of this site was just upstream of the first deep pool after the outlet pool. The bottom and top ends of the site were flagged. Shallow, almost intermittent riffle sections, with only small fish captured.          10:47:36 "
18,198692_ds_ef1,NA,"Site 198692_ds_ef1. The downstream end of this site was just upstream of the first deep pool after the outlet pool. The bottom and top ends of the site were flagged. Shallow, almost intermittent riffle sections, with only small fish captured.          10:47:36 "
19,198692_ds_ef2,NA,Site 198692_ds_ef2. This site consisted of just the outlet pool of the culvert. The outlet pool is extremely deep and was full of fish. 10:59:43 
19,198692_ds_ef2,NA,Site 198692_ds_ef2. This site consisted of just the outlet pool of the culvert. The outlet pool is extremely deep and was full of fish. 10:59:43 
19,198692_ds_ef2,NA,Site 198692_ds_ef2. This site consisted of just the outlet pool of the culvert. The outlet pool is extremely deep and was full of fish. 10:59:43 
19,198692_ds_ef2,NA,Site 198692_ds_ef2. This site consisted of just the outlet pool of the culvert. The outlet pool is extremely deep and was full of fish. 10:59:43 
20,198692_us_ef1,NA,"Site 198692_us_ef1. The bottom end of the site is the inlet of the culvert, where we placed a net. The top end of sight is approximately 2 m upstream of the end of a large spruce tree that has fallen into the channel. Mostly very shallow riffle habitat except for one mellow pool area with undercut banks and small woody debris where most of the 60mm plus sized (tag-size) fish were captured.          14:17:01 "
20,198692_us_ef1,NA,"Site 198692_us_ef1. The bottom end of the site is the inlet of the culvert, where we placed a net. The top end of sight is approximately 2 m upstream of the end of a large spruce tree that has fallen into the channel. Mostly very shallow riffle habitat except for one mellow pool area with undercut banks and small woody debris where most of the 60mm plus sized (tag-size) fish were captured.          14:17:01 "
20,198692_us_ef1,NA,"Site 198692_us_ef1. The bottom end of the site is the inlet of the culvert, where we placed a net. The top end of sight is approximately 2 m upstream of the end of a large spruce tree that has fallen into the channel. Mostly very shallow riffle habitat except for one mellow pool area with undercut banks and small woody debris where most of the 60mm plus sized (tag-size) fish were captured.          14:17:01 "
