reference_number,local_name,temperature_c,conductivity_m_s_cm,turbidity,sampling_method,method_number,pass_number,ef_seconds,site_length,avg_wetted_width_m,enclosure,voltage,frequency,pulse,make,model,species,life_stage,age,total_num,min_length,max_length
5,125180_us_ef1,8.8,60,clear,electrofishing,,1,381,35,2.3,partial enclosure,450,60,,other,halltech HT2000,Rainbow Trout,fry,,6,42,56
5,125180_us_ef1,8.8,60,clear,electrofishing,,1,381,35,2.3,partial enclosure,450,60,,other,halltech HT2000,Rainbow Trout,parr,,17,71,95
5,125180_us_ef1,8.8,60,clear,electrofishing,,1,381,35,2.3,partial enclosure,450,60,,other,halltech HT2000,Rainbow Trout,juvenile,,1,118,118
6,125180_ds_ef1,7.7,60,clear,electrofishing,,1,803,30,3.3,partial enclosure,450,60,,other,halltech HT2000,Rainbow Trout,fry,,16,37,65
6,125180_ds_ef1,7.7,60,clear,electrofishing,,1,803,30,3.3,partial enclosure,450,60,,other,halltech HT2000,Rainbow Trout,parr,,25,70,100
6,125180_ds_ef1,7.7,60,clear,electrofishing,,1,803,30,3.3,partial enclosure,450,60,,other,halltech HT2000,Rainbow Trout,juvenile,,3,120,135
7,125194_ds_ef1,9.4,169,clear,electrofishing,,1,562,115,1.7,open,350,60,,other,halltech HT2000,No Fish Caught,,,1,,
8,125179_ds_ef1,7.7,59,clear,electrofishing,,1,684,35,3.7,partial enclosure,450,60,,other,halltech HT2000,Rainbow Trout,fry,,2,43,44
8,125179_ds_ef1,7.7,59,clear,electrofishing,,1,684,35,3.7,partial enclosure,450,60,,other,halltech HT2000,Rainbow Trout,parr,,12,75,103
8,125179_ds_ef1,7.7,59,clear,electrofishing,,1,684,35,3.7,partial enclosure,450,60,,other,halltech HT2000,Rainbow Trout,adult,,1,143,143
8,125179_ds_ef1,7.7,59,clear,visual observation above water,,1,684,35,3.7,partial enclosure,450,60,,other,halltech HT2000,Fish Unidentified Species,parr,,2,90,100
8,125179_ds_ef1,7.7,59,clear,visual observation above water,,1,684,35,3.7,partial enclosure,450,60,,other,halltech HT2000,Fish Unidentified Species,adult,,1,150,150
9,125179_us_ef1,7.7,59,clear,electrofishing,,1,545,40,2.4,partial enclosure,450,60,,other,halltech HT2000,Rainbow Trout,fry,,4,38,40
9,125179_us_ef1,7.7,59,clear,electrofishing,,1,545,40,2.4,partial enclosure,450,60,,other,halltech HT2000,Rainbow Trout,parr,,6,84,102
9,125179_us_ef1,7.7,59,clear,electrofishing,,1,545,40,2.4,partial enclosure,450,60,,other,halltech HT2000,Rainbow Trout,juvenile,,2,128,134
9,125179_us_ef1,7.7,59,clear,visual observation above water,,1,545,40,2.4,partial enclosure,450,60,,other,halltech HT2000,Fish Unidentified Species,parr,,1,90,90
10,125180_ds_ef2,8,58,clear,electrofishing,,1,591,30,3.3,partial enclosure,450,60,,other,halltech HT2000,Rainbow Trout,fry,,13,36,65
10,125180_ds_ef2,8,58,clear,electrofishing,,1,591,30,3.3,partial enclosure,450,60,,other,halltech HT2000,Rainbow Trout,parr,,12,68,96
10,125180_ds_ef2,8,58,clear,electrofishing,,1,591,30,3.3,partial enclosure,450,60,,other,halltech HT2000,Rainbow Trout,juvenile,,2,128,132
10,125180_ds_ef2,8,58,clear,electrofishing,,1,591,30,3.3,partial enclosure,450,60,,other,halltech HT2000,Rainbow Trout,adult,,1,183,183
10,125180_ds_ef2,8,58,clear,visual observation above water,,1,591,30,3.3,partial enclosure,450,60,,other,halltech HT2000,Fish Unidentified Species,parr,,1,100,100
11,125231_ds_ef1,7,73,clear,electrofishing,,1,465,40,2.1,closed,450,60,,other,halltech HT2000,Rainbow Trout,fry,,5,48,50
11,125231_ds_ef1,7,73,clear,electrofishing,,1,465,40,2.1,closed,450,60,,other,halltech HT2000,Rainbow Trout,parr,,2,89,95
11,125231_ds_ef1,7,73,clear,electrofishing,,1,465,40,2.1,closed,450,60,,other,halltech HT2000,Rainbow Trout,juvenile,,2,116,124
11,125231_ds_ef1,7,73,clear,visual observation above water,,1,465,40,2.1,closed,450,60,,other,halltech HT2000,Fish Unidentified Species,fry,,1,55,55
12,125231_us_ef1,6.8,73,clear,electrofishing,,1,727,70,3,partial enclosure,450,60,,other,halltech HT2000,Rainbow Trout,fry,,2,47,50
12,125231_us_ef1,6.8,73,clear,electrofishing,,1,727,70,3,partial enclosure,450,60,,other,halltech HT2000,Rainbow Trout,parr,,7,85,110
12,125231_us_ef1,6.8,73,clear,electrofishing,,1,727,70,3,partial enclosure,450,60,,other,halltech HT2000,Rainbow Trout,juvenile,,2,114,123
12,125231_us_ef1,6.8,73,clear,visual observation above water,,1,727,70,3,partial enclosure,450,60,,other,halltech HT2000,Fish Unidentified Species,fry,,2,50,50
12,125231_us_ef1,6.8,73,clear,visual observation above water,,1,727,70,3,partial enclosure,450,60,,other,halltech HT2000,Fish Unidentified Species,parr,,1,100,100
13,125231_ds_ef2,6.8,73,clear,electrofishing,,1,331,30,2.2,partial enclosure,450,60,,other,halltech HT2000,Rainbow Trout,fry,,2,47,49
13,125231_ds_ef2,6.8,73,clear,electrofishing,,1,331,30,2.2,partial enclosure,450,60,,other,halltech HT2000,Rainbow Trout,parr,,6,86,104
14,125261_ds_ef1,6.4,290,clear,electrofishing,,1,666,21,3.8,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,fry,,7,43,63
14,125261_ds_ef1,6.4,290,clear,electrofishing,,1,666,21,3.8,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,parr,,5,67,100
14,125261_ds_ef1,6.4,290,clear,electrofishing,,1,666,21,3.8,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,juvenile,,1,126,126
14,125261_ds_ef1,6.4,290,clear,electrofishing,,1,666,21,3.8,partial enclosure,250,60,,other,halltech HT2000,Sculpin (General),fry,,6,37,63
14,125261_ds_ef1,6.4,290,clear,electrofishing,,1,666,21,3.8,partial enclosure,250,60,,other,halltech HT2000,Sculpin (General),parr,,3,70,80
14,125261_ds_ef1,6.4,290,clear,visual observation above water,,1,666,21,3.8,partial enclosure,250,60,,other,halltech HT2000,Fish Unidentified Species,fry,,1,50,50
14,125261_ds_ef1,6.4,290,clear,visual observation above water,,1,666,21,3.8,partial enclosure,250,60,,other,halltech HT2000,Fish Unidentified Species,parr,,1,95,95
15,125261_ds_ef2,6.4,290,clear,electrofishing,,1,500,21,3.2,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,fry,,1,65,65
15,125261_ds_ef2,6.4,290,clear,electrofishing,,1,500,21,3.2,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,parr,,4,66,108
15,125261_ds_ef2,6.4,290,clear,electrofishing,,1,500,21,3.2,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,juvenile,,2,113,125
15,125261_ds_ef2,6.4,290,clear,electrofishing,,1,500,21,3.2,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,adult,,3,143,165
15,125261_ds_ef2,6.4,290,clear,electrofishing,,1,500,21,3.2,partial enclosure,250,60,,other,halltech HT2000,Sculpin (General),fry,,3,34,44
15,125261_ds_ef2,6.4,290,clear,electrofishing,,1,500,21,3.2,partial enclosure,250,60,,other,halltech HT2000,Sculpin (General),parr,,1,67,67
16,125261_us_ef1,6.4,290,clear,electrofishing,,1,729,29,3.4,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,fry,,6,47,62
16,125261_us_ef1,6.4,290,clear,electrofishing,,1,729,29,3.4,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,parr,,6,76,98
16,125261_us_ef1,6.4,290,clear,electrofishing,,1,729,29,3.4,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,juvenile,,3,111,132
16,125261_us_ef1,6.4,290,clear,electrofishing,,1,729,29,3.4,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,adult,,1,153,153
16,125261_us_ef1,6.4,290,clear,electrofishing,,1,729,29,3.4,partial enclosure,250,60,,other,halltech HT2000,Sculpin (General),parr,,1,73,73
16,125261_us_ef1,6.4,290,clear,visual observation above water,,1,729,29,3.4,partial enclosure,250,60,,other,halltech HT2000,Fish Unidentified Species,fry,,1,65,65
16,125261_us_ef1,6.4,290,clear,visual observation above water,,1,729,29,3.4,partial enclosure,250,60,,other,halltech HT2000,Fish Unidentified Species,parr,,2,90,90
17,125261_us_ef2,6.4,290,clear,electrofishing,,1,559,22,4.2,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,fry,,5,44,57
17,125261_us_ef2,6.4,290,clear,electrofishing,,1,559,22,4.2,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,parr,,10,78,108
17,125261_us_ef2,6.4,290,clear,electrofishing,,1,559,22,4.2,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,juvenile,,4,112,119
17,125261_us_ef2,6.4,290,clear,electrofishing,,1,559,22,4.2,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,adult,,2,141,171
17,125261_us_ef2,6.4,290,clear,electrofishing,,1,559,22,4.2,partial enclosure,250,60,,other,halltech HT2000,Sculpin (General),fry,,3,30,61
17,125261_us_ef2,6.4,290,clear,visual observation above water,,1,559,22,4.2,partial enclosure,250,60,,other,halltech HT2000,Fish Unidentified Species,fry,,3,55,65
18,198692_ds_ef1,6,110,clear,electrofishing,,1,400,20,1.9,partial enclosure,250,60,,other,halltech HT2000,Rainbow Trout,fry,,36,30,52
18,198692_ds_ef1,6,110,clear,visual observation above water,,1,400,20,1.9,partial enclosure,250,60,,other,halltech HT2000,Fish Unidentified Species,fry,,1,40,40
19,198692_ds_ef2,6,110,clear,electrofishing,,1,169,4,5,open,350,60,,other,halltech HT2000,Rainbow Trout,fry,,1,51,51
19,198692_ds_ef2,6,110,clear,electrofishing,,1,169,4,5,open,350,60,,other,halltech HT2000,Rainbow Trout,parr,,27,75,110
19,198692_ds_ef2,6,110,clear,electrofishing,,1,169,4,5,open,350,60,,other,halltech HT2000,Rainbow Trout,juvenile,,5,117,134
19,198692_ds_ef2,6,110,clear,electrofishing,,1,169,4,5,open,350,60,,other,halltech HT2000,Rainbow Trout,adult,,1,141,141
20,198692_us_ef1,6,110,clear,electrofishing,,1,254,27,1.4,partial enclosure,350,60,,other,halltech HT2000,Rainbow Trout,fry,,10,43,56
20,198692_us_ef1,6,110,clear,electrofishing,,1,254,27,1.4,partial enclosure,350,60,,other,halltech HT2000,Rainbow Trout,parr,,10,75,100
20,198692_us_ef1,6,110,clear,visual observation above water,,1,254,27,1.4,partial enclosure,350,60,,other,halltech HT2000,Fish Unidentified Species,fry,,2,40,50
